SMT Query ID ,VC Name
          36 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:734:5: addSameAsAddTwiceSameKeyDiffValues (precond. (call lemmaInsertStrictlySortedErasesIfSame...))
          37 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:895:7: addStillContains (body assertion: Inlined precondition of lemmaInsertStrictlySortedDoesNotModifyOtherKeysContained)
          38 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:895:7: addStillContains (postcondition)
          39 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:895:7: addStillContains (precond. (call lemmaInsertStrictlySortedDoesNotModif...))
          40 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:900:8: addStillContains (postcondition)
          41 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:914:5: addStillNotContains (body assertion: Inlined precondition of lemmaInsertStrictlySortedDoesNotModifyOtherKeysNotContained)
          42 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:914:5: addStillNotContains (postcondition)
          43 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:914:5: addStillNotContains (precond. (call lemmaInsertStrictlySortedDoesNotModif...))
          44 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:762:5: addThenRemoveForNewKeyIsSame (body assertion: Inlined precondition (1/2) of lemmaInsertStrictlySortedThenRemoveIsSame)
          45 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:762:5: addThenRemoveForNewKeyIsSame (body assertion: Inlined precondition (2/2) of lemmaInsertStrictlySortedThenRemoveIsSame)
          46 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:762:5: addThenRemoveForNewKeyIsSame (postcondition)
          47 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:762:5: addThenRemoveForNewKeyIsSame (precond. (call lemmaInsertStrictlySortedThenRemoveIs... (require 1/2)))
          48 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:762:5: addThenRemoveForNewKeyIsSame (precond. (call lemmaInsertStrictlySortedThenRemoveIs... (require 2/2)))
          49 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:797:15: addValidProp (non-negative measure)
          50 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:800:7: addValidProp (body assertion: Inlined precondition of addValidProp)
          51 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:800:7: addValidProp (measure decreases)
          52 ,"./src/main/scala/ch/epfl/chassot/ListLongMap.scala:800:7: addValidProp (precond. (call addValidProp[B](lm, p, a, b)))"
          53 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:800:20: addValidProp (precond. (call tail[B](lm)))
          54 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:804:5: addValidProp (postcondition)
          55 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:804:5: addValidProp (postcondition)
          56 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:67:5: apply (precond. (call get[B]({   val thiss: ListLongMap[B] ...))
          57 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:66:9: apply (postcondition)
          58 ,"./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:68:7: apply (precond. (call apply[V](thiss.underlying.v, key)))"
          59 ,"./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:71:17: apply (precond. (call contains[V](thiss, key)))"
          60 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:71:39: apply (precond. (call get[V]({   val thiss: ListLongMap[V] ...))
          61 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:71:39: apply (precond. (call map[V](thiss)))
          62 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:494:47: apply (postcondition)
          63 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:495:64: apply (postcondition)
          64 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:496:14: apply (postcondition)
          65 ,"./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:498:28: apply (precond. (call seekEntry(key, thiss._keys, thiss.mask) (require 1/3)))"
          66 ,"./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:498:28: apply (precond. (call seekEntry(key, thiss._keys, thiss.mask) (require 2/3)))"
          67 ,"./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:498:28: apply (precond. (call seekEntry(key, thiss._keys, thiss.mask) (require 3/3)))"
          68 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:499:19: apply (body assertion: Inlined precondition (1/9) of lemmaSeekEntryGivesInRangeIndex)
          69 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:499:19: apply (body assertion: Inlined precondition (2/9) of lemmaSeekEntryGivesInRangeIndex)
          70 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:499:19: apply (body assertion: Inlined precondition (3/9) of lemmaSeekEntryGivesInRangeIndex)
          71 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:499:19: apply (body assertion: Inlined precondition (4/9) of lemmaSeekEntryGivesInRangeIndex)
          72 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:499:19: apply (body assertion: Inlined precondition (5/9) of lemmaSeekEntryGivesInRangeIndex)
          73 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:499:19: apply (body assertion: Inlined precondition (6/9) of lemmaSeekEntryGivesInRangeIndex)
          74 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:499:19: apply (body assertion: Inlined precondition (7/9) of lemmaSeekEntryGivesInRangeIndex)
          75 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:499:19: apply (body assertion: Inlined precondition (8/9) of lemmaSeekEntryGivesInRangeIndex)
          76 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:499:19: apply (body assertion: Inlined precondition (9/9) of lemmaSeekEntryGivesInRangeIndex)
          77 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:499:19: apply (precond. (call lemmaSeekEntryGivesInRangeIndex[V](_k... (require 1/9)))
          78 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:499:19: apply (precond. (call lemmaSeekEntryGivesInRangeIndex[V](_k... (require 2/9)))
          79 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:499:19: apply (precond. (call lemmaSeekEntryGivesInRangeIndex[V](_k... (require 3/9)))
          80 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:499:19: apply (precond. (call lemmaSeekEntryGivesInRangeIndex[V](_k... (require 4/9)))
          81 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:499:19: apply (precond. (call lemmaSeekEntryGivesInRangeIndex[V](_k... (require 5/9)))
          82 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:499:19: apply (precond. (call lemmaSeekEntryGivesInRangeIndex[V](_k... (require 6/9)))
          83 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:499:19: apply (precond. (call lemmaSeekEntryGivesInRangeIndex[V](_k... (require 7/9)))
          84 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:499:19: apply (precond. (call lemmaSeekEntryGivesInRangeIndex[V](_k... (require 8/9)))
          85 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:499:19: apply (precond. (call lemmaSeekEntryGivesInRangeIndex[V](_k... (require 9/9)))
          86 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:502:23: apply (body assertion: Inlined precondition (1/4) of lemmaArrayContainsFromImpliesContainsFromZero)
          87 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:502:23: apply (body assertion: Inlined precondition (2/4) of lemmaArrayContainsFromImpliesContainsFromZero)
          88 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:502:23: apply (body assertion: Inlined precondition (3/4) of lemmaArrayContainsFromImpliesContainsFromZero)
          89 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:502:23: apply (body assertion: Inlined precondition (4/4) of lemmaArrayContainsFromImpliesContainsFromZero)
          90 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:502:23: apply (precond. (call lemmaArrayContainsFromImpliesContains... (require 1/4)))
          91 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:502:23: apply (precond. (call lemmaArrayContainsFromImpliesContains... (require 2/4)))
          92 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:502:23: apply (precond. (call lemmaArrayContainsFromImpliesContains... (require 3/4)))
          93 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:502:23: apply (precond. (call lemmaArrayContainsFromImpliesContains... (require 4/4)))
          94 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:504:15: apply (body assertion: Inlined precondition (1/10) of lemmaValidKeyInArrayIsInListMap)
          95 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:504:15: apply (body assertion: Inlined precondition (10/10) of lemmaValidKeyInArrayIsInListMap)
          96 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:504:15: apply (body assertion: Inlined precondition (2/10) of lemmaValidKeyInArrayIsInListMap)
          97 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:504:15: apply (body assertion: Inlined precondition (3/10) of lemmaValidKeyInArrayIsInListMap)
          98 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:504:15: apply (body assertion: Inlined precondition (4/10) of lemmaValidKeyInArrayIsInListMap)
          99 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:504:15: apply (body assertion: Inlined precondition (5/10) of lemmaValidKeyInArrayIsInListMap)
         100 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:504:15: apply (body assertion: Inlined precondition (6/10) of lemmaValidKeyInArrayIsInListMap)
         101 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:504:15: apply (body assertion: Inlined precondition (7/10) of lemmaValidKeyInArrayIsInListMap)
         102 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:504:15: apply (body assertion: Inlined precondition (8/10) of lemmaValidKeyInArrayIsInListMap)
         103 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:504:15: apply (body assertion: Inlined precondition (9/10) of lemmaValidKeyInArrayIsInListMap)
         104 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:504:15: apply (precond. (call lemmaValidKeyInArrayIsInListMap[V](_k... (require 1/10)))
         105 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:504:15: apply (precond. (call lemmaValidKeyInArrayIsInListMap[V](_k... (require 10/10)))
         106 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:504:15: apply (precond. (call lemmaValidKeyInArrayIsInListMap[V](_k... (require 2/10)))
         107 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:504:15: apply (precond. (call lemmaValidKeyInArrayIsInListMap[V](_k... (require 3/10)))
         108 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:504:15: apply (precond. (call lemmaValidKeyInArrayIsInListMap[V](_k... (require 4/10)))
         109 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:504:15: apply (precond. (call lemmaValidKeyInArrayIsInListMap[V](_k... (require 5/10)))
         110 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:504:15: apply (precond. (call lemmaValidKeyInArrayIsInListMap[V](_k... (require 6/10)))
         111 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:504:15: apply (precond. (call lemmaValidKeyInArrayIsInListMap[V](_k... (require 7/10)))
         112 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:504:15: apply (precond. (call lemmaValidKeyInArrayIsInListMap[V](_k... (require 8/10)))
         113 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:504:15: apply (precond. (call lemmaValidKeyInArrayIsInListMap[V](_k... (require 9/10)))
         114 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:516:15: apply (body assertion: Inlined precondition (1/11) of lemmaKeyInListMapThenSameValueInArray)
         115 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:516:15: apply (body assertion: Inlined precondition (10/11) of lemmaKeyInListMapThenSameValueInArray)
         116 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:516:15: apply (body assertion: Inlined precondition (11/11) of lemmaKeyInListMapThenSameValueInArray)
         117 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:516:15: apply (body assertion: Inlined precondition (2/11) of lemmaKeyInListMapThenSameValueInArray)
         118 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:516:15: apply (body assertion: Inlined precondition (3/11) of lemmaKeyInListMapThenSameValueInArray)
         119 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:516:15: apply (body assertion: Inlined precondition (4/11) of lemmaKeyInListMapThenSameValueInArray)
         120 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:516:15: apply (body assertion: Inlined precondition (5/11) of lemmaKeyInListMapThenSameValueInArray)
         121 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:516:15: apply (body assertion: Inlined precondition (6/11) of lemmaKeyInListMapThenSameValueInArray)
         122 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:516:15: apply (body assertion: Inlined precondition (7/11) of lemmaKeyInListMapThenSameValueInArray)
         123 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:516:15: apply (body assertion: Inlined precondition (8/11) of lemmaKeyInListMapThenSameValueInArray)
         124 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:516:15: apply (body assertion: Inlined precondition (9/11) of lemmaKeyInListMapThenSameValueInArray)
         125 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:516:15: apply (precond. (call lemmaKeyInListMapThenSameValueInArray... (require 1/11)))
         126 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:516:15: apply (precond. (call lemmaKeyInListMapThenSameValueInArray... (require 10/11)))
         127 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:516:15: apply (precond. (call lemmaKeyInListMapThenSameValueInArray... (require 11/11)))
         128 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:516:15: apply (precond. (call lemmaKeyInListMapThenSameValueInArray... (require 2/11)))
         129 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:516:15: apply (precond. (call lemmaKeyInListMapThenSameValueInArray... (require 3/11)))
         130 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:516:15: apply (precond. (call lemmaKeyInListMapThenSameValueInArray... (require 4/11)))
         131 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:516:15: apply (precond. (call lemmaKeyInListMapThenSameValueInArray... (require 5/11)))
         132 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:516:15: apply (precond. (call lemmaKeyInListMapThenSameValueInArray... (require 6/11)))
         133 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:516:15: apply (precond. (call lemmaKeyInListMapThenSameValueInArray... (require 7/11)))
         134 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:516:15: apply (precond. (call lemmaKeyInListMapThenSameValueInArray... (require 8/11)))
         135 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:516:15: apply (precond. (call lemmaKeyInListMapThenSameValueInArray... (require 9/11)))
         136 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:528:13: apply (postcondition)
         137 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:528:21: apply (array index within bounds)
         138 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:530:21: apply (postcondition)
         139 ,"./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:535:17: apply (precond. (call contains[V](thiss, key)))"
         140 ,"./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:535:17: apply (precond. (call contains[V](thiss, key)))"
         141 ,"./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:535:17: apply (precond. (call contains[V](thiss, key)))"
         142 ,"./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:535:17: apply (precond. (call contains[V](thiss, key)))"
         143 ,"./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:535:17: apply (precond. (call contains[V](thiss, key)))"
         144 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:535:39: apply (precond. (call get[V]({   val thiss: ListLongMap[V] ...))
         145 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:535:39: apply (precond. (call get[V]({   val thiss: ListLongMap[V] ...))
         146 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:535:39: apply (precond. (call get[V]({   val thiss: ListLongMap[V] ...))
         147 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:535:39: apply (precond. (call get[V]({   val thiss: ListLongMap[V] ...))
         148 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:535:39: apply (precond. (call get[V]({   val thiss: ListLongMap[V] ...))
         149 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:535:39: apply (precond. (call map[V](thiss)))
         150 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:535:39: apply (precond. (call map[V](thiss)))
         151 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:535:39: apply (precond. (call map[V](thiss)))
         152 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:535:39: apply (precond. (call map[V](thiss)))
         153 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:535:39: apply (precond. (call map[V](thiss)))
         154 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:931:15: applyForall (non-negative measure)
         155 ,"./src/main/scala/ch/epfl/chassot/ListLongMap.scala:933:24: applyForall (precond. (call head[(Long, B)](lm.toList)))"
         156 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:934:7: applyForall (body assertion: Inlined precondition of applyForall)
         157 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:934:7: applyForall (measure decreases)
         158 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:934:7: applyForall (postcondition)
         159 ,"./src/main/scala/ch/epfl/chassot/ListLongMap.scala:934:7: applyForall (precond. (call applyForall[B](lm, p, k)))"
         160 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:934:19: applyForall (precond. (call tail[B](lm)))
         161 ,./src/main/scala/ch/epfl/chassot/ListLongMap.scala:934:33: applyForall (postcondition)
         162 ,"./src/main/scala/ch/epfl/chassot/ListLongMap.scala:936:24: applyForall (precond. (call apply[B](lm, k)))"
         163 ,"./src/main/scala/ch/epfl/chassot/ListLongMap.scala:936:24: applyForall (precond. (call apply[B](lm, k)))"
         164 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:7517:17: arrayContainsKey (non-negative measure)
         165 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:7521:9: arrayContainsKey (measure decreases)
         166 ,"./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:7521:9: arrayContainsKey (precond. (call arrayContainsKey(a, k, from + 1) (require 1/3)))"
         167 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:7498:17: arrayCountValidKeys (non-negative measure)
         168 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:7500:9: arrayCountValidKeys (postcondition)
         169 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:7503:11: arrayCountValidKeys (postcondition)
         170 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:7503:15: arrayCountValidKeys (measure decreases)
         171 ,"./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:7503:15: arrayCountValidKeys (precond. (call arrayCountValidKeys(a, from + 1, to) (require 1/2)))"
         172 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:7505:11: arrayCountValidKeys (measure decreases)
         173 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:7505:11: arrayCountValidKeys (postcondition)
         174 ,"./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:7505:11: arrayCountValidKeys (precond. (call arrayCountValidKeys(a, from + 1, to) (require 1/2)))"
         175 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:7508:54: arrayCountValidKeys (array index within bounds)
         176 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:1057:9: arrayForallSeekEntryOrOpenFound (body assertion: Inlined precondition (3/4) of lemmaArrayContainsFromImpliesContainsFromZero)
         177 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:1057:9: arrayForallSeekEntryOrOpenFound (body assertion: Inlined precondition (4/4) of lemmaArrayContainsFromImpliesContainsFromZero)
         178 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:1058:9: arrayForallSeekEntryOrOpenFound (precond. (call seekEntryOrOpen({   assert(i >= 0 && ... (require 1/4)))
         179 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:1058:9: arrayForallSeekEntryOrOpenFound (precond. (call seekEntryOrOpen({   assert(i >= 0 && ... (require 2/4)))
         180 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:1058:9: arrayForallSeekEntryOrOpenFound (precond. (call seekEntryOrOpen({   assert(i >= 0 && ... (require 3/4)))
         181 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:1058:9: arrayForallSeekEntryOrOpenFound (precond. (call seekEntryOrOpen({   assert(i >= 0 && ... (require 4/4)))
         182 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:1059:9: arrayForallSeekEntryOrOpenFound (measure decreases)
         183 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:1059:9: arrayForallSeekEntryOrOpenFound (precond. (call arrayForallSeekEntryOrOpenFound(i + 1... (require 1/4)))
         184 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:1059:9: arrayForallSeekEntryOrOpenFound (precond. (call arrayForallSeekEntryOrOpenFound(i + 1... (require 2/4)))
         185 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:1059:9: arrayForallSeekEntryOrOpenFound (precond. (call arrayForallSeekEntryOrOpenFound(i + 1... (require 3/4)))
         186 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:1059:9: arrayForallSeekEntryOrOpenFound (precond. (call arrayForallSeekEntryOrOpenFound(i + 1... (require 4/4)))
         187 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:1060:14: arrayForallSeekEntryOrOpenFound (measure decreases)
         188 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:1060:14: arrayForallSeekEntryOrOpenFound (precond. (call arrayForallSeekEntryOrOpenFound(i + 1... (require 3/4)))
         189 ,./src/main/scala/ch/epfl/chassot/MutableLongMap.scala:1060:46: arrayForallSeekEntryOrOpenFound (array index within bounds)
